distance_km,prep_time,active_orders,available_riders,traffic,weather,demand,time_hour,expected_eta,actual_delivery_time,delay_minutes,delayed
9.3,31,2,9,High,Clear,Low,8,75.2,88.64,13.44,0
7.8,7,6,10,Low,Clear,Medium,17,45.2,50.98,5.78,0
6.87,6,11,8,Low,Clear,Low,18,40.48,41.86,1.38,0
6.93,29,20,10,Low,Clear,Medium,14,63.72,72.46,8.74,0
4.0,21,1,2,Low,Clear,Low,9,44.0,50.22,6.22,0
0.85,14,7,8,High,Clear,High,15,24.4,43.49,19.09,1
5.52,24,10,11,Medium,Clear,Medium,17,53.08,62.59,9.51,0
2.97,12,21,6,Medium,Clear,Medium,11,30.88,37.86,6.98,1
5.2,11,28,11,High,Clear,Medium,12,38.8,51.31,12.51,1
10.31,16,18,4,Medium,Clear,Low,19,64.24,74.29,10.05,0
3.19,32,15,10,Low,Rain,Medium,11,51.76,59.05,7.29,0
1.17,28,10,11,Medium,Clear,Medium,9,39.68,45.4,5.72,0
3.74,10,24,7,Low,Clear,Medium,17,31.96,38.12,6.16,0
3.88,22,3,8,Low,Rain,Medium,8,44.52,52.97,8.45,0
8.11,32,3,6,High,Clear,High,14,71.44,89.76,18.32,1
6.91,34,6,4,Low,Clear,Low,16,68.64,73.38,4.74,0
9.51,28,8,6,Medium,Clear,High,8,73.04,86.55,13.51,0
8.14,8,13,11,Low,Clear,Low,17,47.56,48.32,0.76,0
5.17,12,28,1,Low,Storm,High,20,39.68,69.83,30.15,1
9.86,11,19,3,Medium,Clear,High,22,57.44,77.41,19.97,1
2.42,9,11,6,Medium,Clear,High,11,25.68,38.65,12.97,1
0.76,10,6,4,Medium,Clear,Low,12,20.04,27.36,7.32,1
1.54,14,19,7,Low,Storm,Medium,17,27.16,43.54,16.38,1
8.81,22,7,4,Low,Rain,High,16,64.24,76.14,11.9,0
5.81,17,29,8,Medium,Clear,Medium,17,47.24,62.22,14.98,1
2.35,18,14,2,Medium,Clear,Medium,12,34.4,51.33,16.93,1
6.26,12,16,4,Medium,Clear,Medium,8,44.04,56.24,12.2,1
2.25,9,27,8,Medium,Clear,Low,8,25.0,37.46,12.46,1
8.51,35,9,6,High,Clear,Medium,22,76.04,88.25,12.21,0
5.63,23,14,8,Medium,Clear,Low,14,52.52,58.4,5.88,0
4.88,12,15,7,Low,Clear,Medium,14,38.52,43.16,4.64,0
3.97,30,8,4,Medium,Rain,Medium,17,52.88,67.2,14.32,1
7.75,30,1,5,Medium,Clear,Low,11,68.0,74.56,6.56,0
4.66,34,8,11,High,Clear,Low,13,59.64,69.27,9.63,0
1.51,9,3,11,Low,Rain,High,14,22.04,39.25,17.21,1
1.86,24,20,1,Medium,Clear,Medium,9,38.44,56.11,17.67,1
11.56,35,0,8,Low,Clear,Medium,17,88.24,91.96,3.72,0
10.95,30,9,6,Medium,Clear,Medium,10,80.8,89.61,8.81,0
8.55,11,26,1,High,Clear,Medium,8,52.2,78.49,26.29,1
3.56,32,17,7,High,Clear,Medium,17,53.24,68.06,14.82,1
11.65,18,20,1,Low,Clear,Medium,12,71.6,88.74,17.14,1
9.46,20,20,4,Low,Clear,Low,18,64.84,69.13,4.29,0
8.74,22,8,8,Medium,Clear,Medium,16,63.96,69.02,5.06,0
5.67,28,18,9,Medium,Rain,Low,8,57.68,66.04,8.36,0
3.63,8,6,5,High,Clear,High,18,29.52,50.61,21.09,1
1.61,21,19,9,Low,Clear,Medium,8,34.44,43.74,9.3,1
10.88,30,20,10,Medium,Clear,Low,12,80.52,84.51,3.99,0
5.74,22,26,5,Medium,Clear,Medium,18,51.96,65.79,13.83,1
2.83,13,27,2,Low,Clear,Low,14,31.32,38.76,7.44,1
4.02,6,0,8,Low,Clear,Medium,13,29.08,32.03,2.95,0
7.16,22,8,1,Medium,Clear,High,11,57.64,75.82,18.18,1
2.53,26,16,10,Low,Clear,Medium,14,43.12,51.1,7.98,0
10.35,22,9,5,Medium,Clear,Medium,12,70.4,80.31,9.91,0
9.22,35,18,9,Medium,Rain,Medium,22,78.88,94.44,15.56,0
8.77,23,25,9,Medium,Clear,Medium,18,65.08,76.49,11.41,0
5.47,20,7,6,Low,Rain,Low,21,48.88,52.9,4.02,0
7.71,6,26,11,High,Clear,Medium,13,43.84,59.04,15.2,1
7.22,22,26,9,Medium,Clear,Medium,22,57.88,68.02,10.14,0
7.97,10,27,10,Medium,Clear,Low,12,48.88,60.18,11.3,1
1.47,27,2,2,Medium,Rain,Low,12,39.88,54.01,14.13,1
5.28,9,8,6,Medium,Clear,Low,12,37.12,42.93,5.81,0
0.98,33,3,11,High,Storm,Low,16,43.92,65.04,21.12,1
6.18,14,3,9,Medium,Clear,Low,17,45.72,47.72,2.0,0
4.29,18,1,5,Medium,Clear,Medium,8,42.16,50.8,8.64,1
2.16,9,13,1,Low,Rain,Medium,16,24.64,38.88,14.24,1
1.69,11,2,4,Low,Storm,Medium,22,24.76,41.12,16.36,1
7.26,33,8,7,Medium,Rain,Low,14,69.04,78.73,9.69,0
2.46,13,29,8,Low,Clear,Medium,18,29.84,40.57,10.73,1
11.14,20,26,11,Medium,Rain,High,17,71.56,89.36,17.8,1
7.18,35,28,2,High,Clear,Low,22,70.72,96.68,25.96,1
4.49,24,1,5,Low,Rain,Medium,17,48.96,59.16,10.2,1
7.3,6,19,3,Low,Storm,Medium,15,42.2,61.86,19.66,1
0.76,16,19,11,Medium,Clear,Low,8,26.04,36.19,10.15,1
11.52,16,3,2,Low,Clear,Medium,20,69.08,78.08,9.0,0
6.05,13,27,3,Medium,Clear,Medium,13,44.2,58.06,13.86,1
9.5,12,12,4,Medium,Storm,Medium,21,57.0,77.99,20.99,1
1.45,20,29,2,Medium,Rain,High,11,32.8,56.76,23.96,1
6.1,16,3,8,Medium,Rain,High,14,47.4,64.62,17.22,1
6.14,14,19,6,Medium,Rain,Medium,20,45.56,61.46,15.9,1
11.29,17,3,7,Low,Clear,Medium,10,69.16,73.23,4.07,0
7.07,15,28,10,Low,Rain,High,12,50.28,66.24,15.96,1
5.95,12,18,5,Low,Clear,Medium,19,42.8,51.38,8.58,1
3.57,19,2,4,High,Clear,High,12,40.28,60.23,19.95,1
4.31,34,6,5,Low,Clear,Medium,22,58.24,61.63,3.39,0
6.49,20,10,9,Low,Clear,Low,16,52.96,51.93,-1.03,0
5.55,23,0,6,Low,Clear,Low,20,52.2,54.12,1.92,0
0.75,35,0,2,Low,Rain,Low,16,45.0,54.73,9.73,1
10.0,24,27,8,Low,Clear,High,8,71.0,88.91,17.91,1
10.81,11,29,9,Medium,Rain,Medium,20,61.24,76.85,15.61,1
2.11,17,16,3,Low,Clear,Medium,14,32.44,43.24,10.8,1
6.87,20,27,7,Medium,Rain,Medium,13,54.48,70.53,16.05,1
1.75,19,19,7,Low,Clear,High,19,33.0,45.1,12.1,1
8.23,9,0,2,Medium,Rain,Medium,12,48.92,62.99,14.07,1
3.73,8,21,1,Low,Clear,Low,14,29.92,41.97,12.05,1
8.08,15,0,8,Medium,Clear,Medium,17,54.32,62.98,8.66,0
8.86,33,24,7,High,Clear,Medium,16,75.44,92.57,17.13,1
9.34,27,11,8,Low,Clear,High,18,71.36,82.14,10.78,0
1.74,31,4,5,High,Clear,Medium,9,44.96,58.95,13.99,1
11.03,10,7,6,Low,Clear,Medium,22,61.12,66.32,5.2,0
3.15,17,20,11,Medium,Clear,High,17,36.6,53.9,17.3,1
0.93,23,25,3,Medium,Rain,Medium,17,33.72,52.27,18.55,1
6.88,18,17,8,Low,Clear,Low,21,52.52,53.02,0.5,0
4.77,17,4,2,Low,Clear,High,15,43.08,56.35,13.27,1
10.04,16,27,1,Low,Clear,Medium,8,63.16,77.91,14.75,1
9.79,6,23,11,Medium,Clear,High,9,52.16,63.51,11.35,1
4.15,31,12,2,Low,Clear,Medium,22,54.6,65.79,11.19,1
11.46,33,16,8,High,Clear,Medium,22,85.84,102.44,16.6,0
3.85,7,28,6,Low,Clear,Medium,9,29.4,40.04,10.64,1
6.42,17,11,9,High,Clear,Medium,18,49.68,62.6,12.92,1
3.44,21,0,7,Low,Clear,Low,17,41.76,41.94,0.18,0
11.26,29,4,8,Medium,Clear,Medium,10,81.04,91.1,10.06,0
2.39,35,18,10,Low,Clear,Low,19,51.56,54.01,2.45,0
1.02,17,29,10,Low,Clear,Medium,14,28.08,37.95,9.87,1
5.5,28,22,8,Low,Rain,Medium,11,57.0,70.6,13.6,1
11.91,34,18,2,Medium,Clear,Medium,16,88.64,101.52,12.88,0
10.75,30,9,2,Low,Clear,Medium,21,80.0,91.35,11.35,0
9.11,14,13,6,Medium,Clear,Medium,11,57.44,69.37,11.93,1
10.74,30,1,8,High,Rain,Medium,17,79.96,95.46,15.5,0
10.77,17,11,8,Low,Clear,Medium,18,67.08,75.05,7.97,0
6.47,5,18,9,Low,Clear,Medium,17,37.88,45.75,7.87,1
4.13,28,27,2,Low,Rain,Low,17,51.52,69.46,17.94,1
9.38,30,27,2,Low,Clear,Medium,18,74.52,90.08,15.56,1
8.11,15,24,2,Medium,Clear,High,11,54.44,79.95,25.51,1
4.8,18,0,6,Medium,Clear,Medium,9,44.2,51.8,7.6,0
1.59,16,24,7,Low,Clear,High,22,29.36,38.42,9.06,1
9.09,8,6,2,Low,Rain,Low,12,51.36,60.3,8.94,0
3.52,35,18,10,Medium,Clear,Medium,22,56.08,68.72,12.64,1
11.27,5,28,4,Low,Clear,Medium,12,57.08,69.68,12.6,1
3.27,22,26,8,Medium,Clear,Medium,11,42.08,53.66,11.58,1
1.91,5,19,9,High,Storm,Medium,8,19.64,48.05,28.41,1
10.06,26,8,1,Low,Clear,Low,14,73.24,82.13,8.89,0
2.26,32,15,10,Medium,Clear,Medium,22,48.04,58.96,10.92,1
2.56,24,21,11,Medium,Rain,Medium,21,41.24,56.31,15.07,1
7.39,23,15,11,Medium,Clear,Medium,12,59.56,66.9,7.34,0
10.56,30,12,2,Medium,Rain,Low,14,79.24,94.42,15.18,0
2.76,35,12,5,Medium,Rain,Low,18,53.04,67.2,14.16,1
4.07,31,17,3,Medium,Clear,High,22,54.28,70.84,16.56,1
9.44,12,1,5,Medium,Rain,Medium,17,56.76,68.21,11.45,1
11.68,22,29,11,Medium,Storm,Medium,11,75.72,94.21,18.49,1
6.26,30,3,9,Medium,Clear,Low,13,62.04,64.77,2.73,0
2.15,14,29,9,Medium,Clear,Medium,18,29.6,39.57,9.97,1
0.66,25,1,5,Low,Rain,Medium,8,34.64,42.72,8.08,1
3.14,5,15,11,Medium,Clear,High,16,24.56,36.82,12.26,1
2.02,32,12,11,Low,Clear,Medium,19,47.08,55.01,7.93,0
8.29,24,17,9,Low,Clear,Low,13,64.16,66.5,2.34,0
1.9,28,13,9,Low,Rain,Low,16,42.6,48.46,5.86,0
6.32,30,26,8,Low,Rain,Low,18,62.28,71.3,9.02,0
8.48,11,0,2,Medium,Storm,Medium,16,51.92,69.69,17.77,1
7.18,18,29,4,Low,Clear,High,8,53.72,68.93,15.21,1
2.8,31,20,9,Medium,Storm,Low,16,49.2,65.9,16.7,1
9.75,10,23,4,Medium,Clear,Medium,11,56.0,71.88,15.88,1
8.73,30,4,2,Low,Clear,Medium,19,71.92,79.8,7.88,0
9.0,13,1,11,Low,Clear,Medium,11,56.0,57.57,1.57,0
2.01,22,11,6,Medium,Clear,Medium,22,37.04,47.56,10.52,1
1.92,20,9,10,Medium,Clear,Medium,9,34.68,46.3,11.62,1
11.17,26,23,4,Low,Clear,Low,21,77.68,83.09,5.41,0
5.07,30,26,4,Low,Clear,Medium,8,57.28,65.01,7.73,0
3.96,15,12,4,Low,Clear,Medium,18,37.84,44.61,6.77,0
6.12,10,23,5,Low,Clear,Medium,13,41.48,47.05,5.57,0
8.12,18,1,5,Low,Clear,Low,10,57.48,58.48,1.0,0
11.49,23,22,4,High,Clear,Medium,11,75.96,93.2,17.24,1
3.79,28,2,9,Low,Clear,High,8,50.16,59.51,9.35,0
11.14,28,20,4,Low,Clear,Medium,9,79.56,88.99,9.43,0
0.79,15,11,5,High,Clear,Low,13,25.16,39.37,14.21,1
6.88,34,12,10,Medium,Storm,High,10,68.52,85.07,16.55,1
7.79,7,8,5,Low,Storm,Low,22,45.16,51.24,6.08,0
1.72,8,12,1,Medium,Clear,Medium,20,21.88,41.87,19.99,1
2.11,5,26,1,High,Clear,Low,15,20.44,42.2,21.76,1
5.32,33,24,5,Low,Clear,High,9,61.28,70.15,8.87,0
11.61,10,10,8,Low,Rain,Low,22,63.44,68.03,4.59,0
7.35,23,8,11,High,Clear,Medium,18,59.4,74.48,15.08,1
11.23,30,15,2,Medium,Rain,High,10,81.92,104.6,22.68,1
9.75,28,20,6,High,Storm,Medium,8,74.0,99.94,25.94,1
5.87,34,5,4,Low,Clear,Low,17,64.48,68.15,3.67,0
9.52,6,21,5,High,Clear,Low,8,51.08,65.84,14.76,1
0.71,17,28,5,Low,Clear,Low,17,26.84,35.14,8.3,1
1.76,20,25,4,Medium,Clear,Low,14,34.04,45.01,10.97,1
10.04,26,16,1,High,Clear,Medium,21,73.16,97.27,24.11,1
9.66,24,9,1,Low,Rain,Medium,13,69.64,87.05,17.41,1
3.18,22,9,6,Low,Clear,High,14,41.72,51.63,9.91,1
6.6,14,22,3,Medium,Rain,Medium,16,47.4,63.99,16.59,1
7.47,8,13,4,Medium,Clear,High,22,44.88,60.3,15.42,1
10.48,18,3,1,Low,Clear,Medium,18,66.92,79.4,12.48,0
7.44,13,20,1,High,Rain,Medium,18,49.76,76.59,26.83,1
5.24,22,4,2,Low,Rain,Medium,12,49.96,61.68,11.72,1
4.8,29,29,5,Low,Clear,Medium,15,55.2,61.22,6.02,0
5.4,22,12,2,Low,Clear,Low,10,50.6,53.23,2.63,0
8.0,23,10,3,High,Clear,High,13,62.0,84.25,22.25,1
10.48,6,1,4,Low,Clear,Medium,20,54.92,60.37,5.45,0
5.72,24,5,4,Medium,Rain,Medium,9,53.88,64.69,10.81,1
3.35,18,28,1,Low,Clear,Medium,10,38.4,57.76,19.36,1
3.22,8,16,2,High,Clear,Low,16,27.88,44.99,17.11,1
9.08,11,27,11,Medium,Rain,Medium,19,54.32,71.55,17.23,1
9.89,29,28,8,Low,Clear,Medium,22,75.56,85.0,9.44,0
1.71,33,1,2,Low,Rain,High,16,46.84,67.39,20.55,1
1.27,20,11,4,Low,Clear,Medium,17,32.08,40.36,8.28,1
7.34,35,25,5,Low,Clear,Medium,12,71.36,76.47,5.11,0
2.18,10,14,10,Medium,Clear,Medium,14,25.72,37.63,11.91,1
9.98,14,15,10,Medium,Clear,High,12,60.92,78.32,17.4,1
4.07,33,17,9,Low,Rain,High,9,56.28,66.14,9.86,0
2.15,10,21,2,Medium,Clear,Medium,13,25.6,44.08,18.48,1
11.09,25,28,6,Medium,Clear,Medium,11,76.36,90.68,14.32,0
2.4,11,26,6,Low,Clear,Medium,16,27.6,35.37,7.77,1
3.77,15,18,8,Low,Clear,High,19,37.08,42.84,5.76,0
2.27,19,17,10,Low,Clear,High,22,35.08,44.89,9.81,1
1.83,16,10,4,Medium,Clear,Medium,21,30.32,40.16,9.84,1
0.74,32,3,7,Low,Clear,Medium,12,41.96,48.62,6.66,0
1.14,35,21,3,Medium,Rain,Low,22,46.56,61.58,15.02,1
2.51,20,0,3,Low,Clear,Low,22,37.04,40.22,3.18,0
1.11,21,20,4,Medium,Clear,Low,15,32.44,41.27,8.83,1
7.3,6,14,9,Low,Clear,Low,11,42.2,45.65,3.45,0
8.33,12,23,5,Medium,Rain,Medium,19,52.32,67.03,14.71,1
5.03,6,28,8,Low,Clear,Medium,9,33.12,40.14,7.02,1
4.16,31,16,8,Low,Clear,Medium,13,54.64,61.37,6.73,0
6.3,12,17,4,Low,Clear,Medium,15,44.2,51.49,7.29,0
10.56,15,14,11,Medium,Clear,Low,20,64.24,65.86,1.62,0
10.29,31,11,1,Medium,Clear,Medium,22,79.16,97.7,18.54,1
1.0,27,2,10,Low,Clear,Low,20,38.0,39.55,1.55,0
2.59,24,0,1,Medium,Rain,Low,15,41.36,56.76,15.4,1
3.22,6,21,5,Medium,Clear,High,9,25.88,40.2,14.32,1
3.37,22,27,10,Medium,Storm,Low,19,42.48,59.74,17.26,1
7.07,22,1,8,Medium,Clear,Medium,20,57.28,66.12,8.84,0
5.29,14,9,4,Low,Clear,Medium,15,42.16,47.7,5.54,0
1.07,28,18,10,Medium,Clear,Medium,16,39.28,51.6,12.32,1
4.8,33,21,2,Medium,Clear,Medium,20,59.2,73.45,14.25,1
6.52,13,22,8,Medium,Rain,Medium,9,46.08,60.82,14.74,1
1.67,15,20,6,Low,Clear,Medium,20,28.68,35.73,7.05,1
10.08,14,2,3,Medium,Rain,Medium,15,61.32,77.73,16.41,1
1.1,30,7,11,Low,Clear,High,18,41.4,47.96,6.56,0
11.14,7,14,9,Medium,Clear,Low,10,58.56,63.74,5.18,0
1.64,32,1,1,Low,Clear,Medium,17,45.56,53.97,8.41,0
10.2,29,10,1,Low,Clear,Low,12,76.8,85.67,8.87,0
10.88,19,11,1,Medium,Clear,Low,15,69.52,84.23,14.71,1
11.77,23,29,5,High,Rain,High,15,77.08,99.28,22.2,1
9.72,32,9,5,Low,Clear,Medium,22,77.88,81.79,3.91,0
9.46,28,29,8,Medium,Clear,Low,18,72.84,83.86,11.02,0
7.89,13,21,8,Medium,Rain,Medium,16,51.56,65.55,13.99,1
9.46,6,20,1,High,Clear,Low,14,50.84,72.99,22.15,1
2.05,25,24,6,Medium,Rain,Medium,13,40.2,51.99,11.79,1
6.66,9,25,9,Low,Clear,Medium,17,42.64,50.44,7.8,0
6.41,7,6,10,Low,Rain,High,21,39.64,50.9,11.26,1
10.36,35,12,4,Medium,Clear,Low,16,83.44,91.51,8.07,0
5.82,19,15,1,Low,Storm,Medium,17,49.28,71.59,22.31,1
4.93,25,29,2,High,Clear,High,12,51.72,79.9,28.18,1
7.85,11,1,4,High,Rain,High,16,49.4,70.69,21.29,1
3.56,8,14,5,High,Clear,Low,16,29.24,39.96,10.72,1
2.11,6,6,4,Low,Rain,Medium,18,21.44,32.59,11.15,1
6.0,15,6,1,Medium,Rain,High,12,46.0,66.75,20.75,1
5.29,5,22,4,Medium,Rain,Medium,13,33.16,49.88,16.72,1
3.17,18,6,4,Low,Clear,Medium,13,37.68,47.51,9.83,1
4.73,15,23,6,Low,Clear,Medium,14,40.92,50.72,9.8,1
4.71,21,29,1,Low,Rain,High,12,46.84,71.66,24.82,1
4.27,23,23,9,Low,Clear,Medium,10,47.08,55.18,8.1,0
4.86,14,5,5,High,Clear,Low,15,40.44,51.18,10.74,1
8.39,19,4,4,Medium,Clear,Medium,20,59.56,67.56,8.0,0
3.91,7,13,10,Low,Clear,Medium,8,29.64,34.73,5.09,0
11.41,14,16,9,Medium,Clear,Medium,17,66.64,77.99,11.35,0
11.04,35,23,2,Low,Clear,Medium,20,86.16,100.54,14.38,0
6.03,35,12,2,Low,Clear,Medium,20,66.12,79.1,12.98,0
4.28,20,5,1,Low,Clear,Medium,20,44.12,58.56,14.44,1
6.66,34,29,7,Medium,Rain,High,12,67.64,87.12,19.48,1
10.26,20,27,4,Medium,Clear,Medium,9,68.04,82.82,14.78,1
8.0,8,19,5,Medium,Rain,Medium,22,47.0,57.0,10.0,1
9.75,31,20,6,High,Clear,Medium,18,77.0,98.51,21.51,1
6.63,17,28,6,Low,Clear,Low,13,50.52,55.29,4.77,0
7.78,23,14,1,Medium,Clear,Medium,20,61.12,80.22,19.1,1
3.81,25,4,2,Low,Clear,Low,13,47.24,53.21,5.97,0
8.95,14,18,9,Low,Clear,Medium,19,56.8,62.52,5.72,0
2.83,27,13,11,Medium,Clear,Medium,22,45.32,54.45,9.13,1
8.49,20,23,10,Low,Clear,Low,19,60.96,63.07,2.11,0
10.4,16,23,10,Low,Clear,Medium,17,64.6,67.24,2.64,0
2.02,14,14,6,Low,Clear,High,10,29.08,41.2,12.12,1
7.57,28,11,10,Low,Rain,Low,22,65.28,71.57,6.29,0
1.59,12,12,10,High,Clear,High,14,25.36,42.93,17.57,1
8.85,8,18,10,Low,Clear,Low,17,50.4,54.9,4.5,0
1.47,32,19,2,Medium,Clear,Low,17,44.88,60.33,15.45,1
11.26,15,15,2,High,Rain,Medium,11,67.04,90.65,23.61,1
2.08,24,15,5,Medium,Clear,Low,17,39.32,47.14,7.82,0
11.53,27,29,6,Low,Clear,High,13,80.12,94.93,14.81,0
9.71,30,7,11,High,Rain,Medium,13,75.84,90.36,14.52,0
7.33,24,5,4,Low,Clear,Medium,20,60.32,67.39,7.07,0
9.5,26,23,10,Low,Rain,Medium,18,71.0,82.33,11.33,0
9.64,30,28,10,Medium,Clear,Medium,15,75.56,91.92,16.36,1
11.38,34,18,11,Low,Rain,Medium,8,86.52,97.23,10.71,0
3.41,6,12,3,Medium,Clear,Medium,18,26.64,39.22,12.58,1
7.29,28,10,3,Low,Clear,High,19,64.16,76.57,12.41,0
1.59,10,14,3,Medium,Clear,Medium,10,23.36,41.21,17.85,1
7.59,32,1,9,Medium,Clear,Medium,19,69.36,75.85,6.49,0
2.47,6,15,8,High,Clear,Medium,13,22.88,40.05,17.17,1
7.0,12,8,5,Low,Clear,Medium,18,47.0,51.12,4.12,0
7.08,10,7,1,Low,Clear,Medium,20,45.32,59.88,14.56,1
5.86,23,16,6,High,Rain,Medium,18,53.44,74.9,21.46,1
6.51,5,28,9,Medium,Clear,Medium,22,38.04,50.59,12.55,1
9.29,5,6,6,Low,Rain,Low,9,49.16,52.55,3.39,0
9.69,20,27,3,Low,Clear,High,12,65.76,81.3,15.54,1
6.16,35,15,7,Medium,Clear,Medium,8,66.64,73.19,6.55,0
7.4,21,29,8,Medium,Clear,Medium,10,57.6,70.6,13.0,1
11.21,18,11,7,Medium,Rain,High,13,69.84,86.2,16.36,1
1.88,25,29,10,High,Rain,High,8,39.52,63.69,24.17,1
1.85,22,19,4,Low,Clear,High,13,36.4,45.53,9.13,1
1.51,16,20,7,Low,Clear,Low,9,29.04,33.45,4.41,0
8.07,23,16,10,Medium,Rain,Medium,9,62.28,76.15,13.87,1
5.31,5,13,3,High,Clear,Medium,20,33.24,53.63,20.39,1
9.4,12,15,4,Low,Clear,Medium,19,56.6,62.62,6.02,0
8.22,25,25,1,Medium,Clear,Medium,14,64.88,85.67,20.79,1
4.34,15,23,5,Low,Clear,Medium,16,39.36,46.6,7.24,0
10.83,6,0,1,Low,Rain,Medium,12,56.32,72.05,15.73,1
9.27,8,20,9,High,Rain,High,15,52.08,74.13,22.05,1
3.61,31,25,1,Low,Rain,Medium,19,52.44,73.74,21.3,1
4.69,15,22,8,Low,Clear,High,15,40.76,55.18,14.42,1
4.12,5,14,7,Medium,Clear,High,19,28.48,42.51,14.03,1
2.31,27,10,11,Low,Clear,Medium,15,43.24,49.05,5.81,0
2.2,21,20,4,Low,Clear,High,13,36.8,51.37,14.57,1
11.27,18,19,4,Medium,Clear,Low,21,70.08,77.83,7.75,0
5.54,32,11,3,Low,Rain,Low,21,61.16,69.39,8.23,0
